  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
066700 99999 201701011250 990   6 *** *** *** * * *  4.4 ** ** ** ** ** ** ** ** *   32   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011300 190   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   32   24 1023.5 *****  970.6 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011320 990   5 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   32   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011350 990   6 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   32   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011400 190   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   33   25 1023.0 *****  970.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011420 990   5 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   34   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011450 170   5 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   32   25 ****** 30.12 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011500 180   3 *** *** CLR * * *  4.4 10 ** ** ** ** ** ** ** 0   32   25 1023.1 *****  970.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011520 190   5 *** *** *** * * *  3.8 ** ** ** ** ** ** ** ** *   30   25 ****** 30.12 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011550 150   8 *** *** *** * * *  3.1 40 10 ** ** ** ** ** ** *   27   25 ****** 30.12 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011600 160   6 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   25 1023.5 *****  970.0 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011620 140   5 *** *** *** * * *  2.5 40 10 ** ** ** ** ** ** *   27   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011650 130   6 ***   2 *** * * *  2.5 11 10 ** ** ** ** ** ** *   25   23 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011700 140   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   26   24 1023.8 *****  970.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011720 140   6 ***   2 *** * * *  2.5 11 10 ** ** ** ** ** ** *   25   23 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011750 150   6 ***   2 *** * * *  2.5 11 10 ** ** ** ** ** ** *   25   21 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011800 160   7 *** *** SCT * * *  2.5 11 ** ** ** ** ** ** ** 0   24   22 1024.2 *****  970.4  33 ***  0.00 ***** *****  0.00 ** 
066700 99999 201701011820 ***   0 *** *** *** * * *  3.1 40 10 ** ** ** ** ** ** *   25   23 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011850 170   3 *** *** *** * * *  3.1 40 10 ** ** ** ** ** ** *   25   23 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011900 170   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   24   22 1024.6 *****  970.7 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701011920 170   2 *** *** *** * * *  2.8 11 10 ** ** ** ** ** ** *   23   23 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701011950 990   2 ***   4 *** * * *  2.2 11 10 ** ** ** ** ** ** *   23   23 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012000 200   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   24   22 1025.0 *****  971.1 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701012020 990   5 ***   4 *** * * *  1.6 11 ** ** ** ** ** ** ** *   25   23 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012050 140   5 ***   4 *** * * *  1.6 11 ** ** ** ** ** ** ** *   25   23 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012100 140   5 ***   4 BKN * * *  1.6 12 ** ** ** ** ** ** ** 1   25   24 1025.1 *****  971.3 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701012120 160   5 ***   4 *** * * *  1.6 11 ** ** ** ** ** ** ** *   27   25 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012150 990   5 ***   4 *** * * *  2.2 10 ** ** ** ** ** ** ** *   27   25 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012200 200   3 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   25 1024.7 *****  971.2 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701012220 990   6 ***   3 *** * * *  2.2 10 ** ** ** ** ** ** ** *   27   25 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012250 990   7 ***   4 *** * * *  2.2 10 ** ** ** ** ** ** ** *   27   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012300 170   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   27   26 1024.9 *****  971.4 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701012320 160   7 ***   3 *** * * *  2.2 10 ** ** ** ** ** ** ** *   27   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701012350 170   7 ***   3 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.18 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020000 190   6 ***   3 OVC * * *  2.5 10 ** ** ** ** ** ** ** 2   27   26 1024.7 *****  971.2 *** ***  0.00  0.00 ***** ***** ** 
066700 99999 201701020050 150   6 ***   4 *** * * *  2.8 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020100 190   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   26 1024.4 *****  971.0 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020120 180   5 ***   4 *** * * *  2.8 10 ** ** ** ** ** ** ** *   28   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020150 150   7 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020200 170   5 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   28   26 1024.5 *****  971.1 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020220 160   6 ***   4 *** * * *  2.5 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020250 150   7 ***   3 *** * * *  2.8 10 ** ** ** ** ** ** ** *   27   27 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
066700 99999 201701020300 160   6 ***   3 OVC * * *  2.8 10 ** ** ** ** ** ** ** 2   27   26 1024.3 *****  970.8 *** ***  0.00 ***** ***** ***** ** 
066700 99999 201701020320 150   6 ***   4 *** * * *  2.8 10 ** ** ** ** ** ** ** *   27   25 ****** 30.15 ****** *** *** ***** ***** ***** ***** ** 
