ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
39	AAFEX-II	135	2	JP-8	188	21.8	1.3	13.5	18	2.16E+15	5.33E+14	1.63E+15	89.9	72.4	44.2	28.2	0.771084337	0.228915663	26.08738699	7.744693012	17.3043	76.1489	31.0865	79.6411	1	0	NA	NA	NA	NA	
40	AAFEX-II	110	3	JP-8	188	21.8	1.3	13.5	17	1.69E+15	5.58E+14	1.14E+15	79.3	62.4	40.1	22.3	0.759259259	0.240740741	20.32023778	6.443002222	23.2828	75.9999	29.882	76.6245	0	1	NA	NA	NA	NA	
41	AAFEX-II	120	3	JP-8	188	21.8	1.3	13.5	17	1.68E+15	5.59E+14	1.12E+15	77.7	62.6	41.1	21.4	0.751552795	0.248447205	19.34289466	6.394345342	23.2031	75.6516	29.9467	78.0431	0	1	NA	NA	NA	NA	
42	AAFEX-II	120	2	JP-8	188	21.8	1.3	13.5	9	3.35E+15	6.14E+14	2.74E+15	85.5	70.4	37.3	33.1	0.793548387	0.206451613	31.55345187	8.209028129	14.8895	71.861	30.3398	75.8352	1	0	NA	NA	NA	NA	
43	AAFEX-II	138	3	HRJ	6	0.4	0	15.3	10	6.51E+14	2.14E+14	4.36E+14	15.3	9.1	5.5	3.6	0.774509804	0.225490196	3.353791647	0.976420353	22.5077	66.0568	24.0183	59.7675	0	1	NA	NA	NA	NA	
44	AAFEX-II	130	3	HRJ	6	0.4	0	15.3	11	8.88E+14	2.42E+14	6.47E+14	16.6	11.3	6.6	4.7	0.738738739	0.261261261	4.152329297	1.468506703	21.0562	67.6379	24.4449	63.7547	0	1	NA	NA	NA	NA	
45	AAFEX-II	150	2	JP-8	188	21.8	1.3	13.5	17	2.54E+15	6.09E+14	1.93E+15	49.2	78.0	46.0	32.0	0.75862069	0.24137931	29.11237241	9.263027586	16.7915	78.169	31.7779	81.1865	1	0	NA	NA	NA	NA	
46	AAFEX-II	120	3	HRJ	6	0.4	0	15.3	17	6.48E+14	2.27E+14	4.21E+14	13.9	10.5	6.4	4.1	0.713114754	0.286885246	3.471881902	1.396734098	22.2806	68.4636	25.0395	59.7017	0	1	NA	NA	NA	NA	
47	AAFEX-II	155	3	HRJ	6	0.4	0	15.3	18	5.26E+14	2.28E+14	2.98E+14	15.3	10.0	6.6	3.5	0.767857143	0.232142857	3.197016214	0.966539786	23.6081	65.9478	25.2473	61.7093	0	1	NA	NA	NA	NA	
48	AAFEX-II	97	2	JP-8	188	21.8	1.3	13.5	23	1.34E+15	5.06E+14	8.38E+14	70.9	61.8	39.0	22.8	0.798657718	0.201342282	21.85252107	5.509038926	29.6084	77.8865	32.8103	77.4134	1	0	NA	NA	NA	NA	
49	AAFEX-II	145	3	HRJ	6	0.4	0	15.3	23	3.99E+14	1.98E+14	2.01E+14	12.8	9.0	5.8	3.2	0.789473684	0.210526316	2.985129474	0.796034526	21.4224	62.63	24.5317	59.6107	0	1	NA	NA	NA	NA	
50	AAFEX-II	125	3	HRJ	6	0.4	0	15.3	24	4.32E+14	2.04E+14	2.29E+14	12.7	8.9	5.8	3.1	0.795918367	0.204081633	2.933414449	0.752157551	23.6223	61.8924	24.7395	59.3054	0	1	NA	NA	NA	NA	
51	AAFEX-II	150	2	JP-8	188	21.8	1.3	13.5	13	2.54E+15	6.05E+14	1.94E+15	92.8	78.0	38.7	39.3	0.774358974	0.225641026	36.51914092	10.64133908	15.1826	75.7852	29.0773	75.6648	1	0	NA	NA	NA	NA	
52	AAFEX-II	170	3	FT	4	1.4	0	15	14	4.63E+14	2.31E+14	2.32E+14	16.5	12.0	6.6	5.4	0.755244755	0.244755245	4.886028755	1.583435245	23.2539	73.5411	24.585	59.1526	0	1	NA	NA	NA	NA	
53	AAFEX-II	200	3	FT	4	1.4	0	15	14	4.85E+14	2.49E+14	2.36E+14	18.0	12.7	7.1	5.6	0.729032258	0.270967742	4.915911174	1.827152826	23.7041	72.2099	24.9069	59.3184	0	1	NA	NA	NA	NA	
54	AAFEX-II	110	3	BlendHRJ	276	10.2	0.65	14.4	23	1.59E+15	4.30E+14	1.16E+15	45.0	41.9	21.9	20.1	0.740740741	0.259259259	17.84764444	6.246675556	14.6544	69.1092	27.1925	68.3652	0	1	NA	NA	NA	NA	
55	AAFEX-II	148	2	JP-8	188	21.8	1.3	13.5	14	2.30E+15	5.68E+14	1.74E+15	72.5	67.6	38.6	29.0	0.870748299	0.129251701	30.28459102	4.49536898	16.4898	75.9079	29.8988	77.6583	1	0	NA	NA	NA	NA	
56	AAFEX-II	170	3	FTS	1083	2.1	0	15	14	1.02E+16	2.54E+14	9.98E+15	16.0	51.6	6.5	45.2	0.693430657	0.306569343	37.5995965	16.6229795	14.7966	28.0732	21.9502	61.1161	0	1	NA	NA	NA	NA	
57	AAFEX-II	150	3	FTS	1083	2.1	0	15	16	1.06E+16	2.52E+14	1.04E+16	16.6	58.9	7.2	51.7	0.707006369	0.292993631	43.89431228	18.19043572	14.3883	27.6707	21.9719	65.3874	0	1	NA	NA	NA	NA	
58	AAFEX-II	80	3	BlendHRJ	276	10.2	0.65	14.4	25	1.74E+15	4.47E+14	1.29E+15	51.4	46.6	24.1	22.5	NA	NA	NA	NA	13.6359	68.1128	27.3471	68.9433	0	1	NA	NA	NA	NA	
59	AAFEX-II	100	2	BlendHRJ	276	10.2	0.65	14.4	25	2.15E+15	4.03E+14	1.75E+15	51.9	45.3	23.5	21.7	NA	NA	NA	NA	13.3381	70.0156	28.4276	73.9613	1	0	NA	NA	NA	NA	
60	AAFEX-II	140	2	JP-8	188	21.8	1.3	13.5	29	1.23E+15	3.50E+14	8.77E+14	35.2	42.9	NA	NA	0.931034483	0.068965517	NA	NA	16.2138	67.1369	NA	NA	1	0	NA	NA	NA	NA	
61	AAFEX-II	120	3	JP-8	188	21.8	1.3	13.5	30	1.06E+15	5.45E+14	5.16E+14	64.4	74.2	NA	NA	0.870967742	0.129032258	NA	NA	28.1534	72.8356	NA	NA	0	1	NA	NA	NA	NA	
62	ACCESS-I	360	2	BlendHEFA	500	8	0.9	14.4	18.13	9.10E+15	1.31E+15	7.79E+15	81.12	43.7705	21.333	22.4	0.78115345	0.21884655	21.03255664	5.892443357	12.6193	53.1875	23.3916	65.4213	1	0	82.5	NA	1011	0.763	
63	ACCESS-I	480	2	JP-8	800	16	1.4	13.9	16.81	1.18E+16	1.21E+15	1.06E+16	117.71	92.8376	40.8023	52.0	0.711997273	0.288002727	44.45879006	17.98356994	13.6364	51.1587	21.0033	71.5785	1	0	83.0	NA	988	0.757	
64	ACCESS-I	360	3	BlendHEFA	500	8	0.9	14.4	17.05	4.06E+15	1.42E+15	2.64E+15	40.3953	22.1375	7.20792	14.9	0.878638439	0.121361561	15.74124344	2.174252559	14.6017	60.8746	14.3177	60.8093	0	1	82.7	NA	974	0.764	
																															
																															
																															
