ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
1	APEX	273	3	JP-8	383	17.6	0.93	13.69	28.0	4.07E+16	2.49E+15	3.82E+16	52.74	339.38	109.78	229.60	NA	NA	NA	NA	16.9	32.6	12.4	37.2	0	1	21	55	794	NA	
2	APEX	445	3	JP-8	383	17.6	0.93	13.69	32.0	3.03E+16	2.26E+15	2.80E+16	12.37	170.43	46.47	123.96	0.870	0.130	129.4282906	19.32494785	16.5	27.2	12.7	28.8	0	1	22	60	798	0.098	
3	APEX	50	3	JP-8	383	17.6	0.93	13.69	34.0	2.90E+16	2.18E+15	2.68E+16	12.49	111.80	37.35	74.45	0.928	0.072	82.92946738	6.409537452	15.1	29.0	11.8	65.8	0	1	21	60	788	0.094	
4	APEX	266	3	JP-8	383	17.6	0.93	13.69	33.0	2.44E+16	1.79E+15	2.26E+16	11.33	148.71	55.26	93.45	0.769	0.231	86.26623032	25.87959275	16.4	28.2	12.7	38.5	0	1	21	60	792	0.098	
5	APEX	674	3	JP-8	383	17.6	0.93	13.69	33.0	2.39E+16	1.88E+15	2.20E+16	9.77	155.72	47.92	107.80	0.863	0.137	111.6699923	17.68940654	16.4	27.4	12.5	30.4	0	1	21	60	805	0.096	
6	APEX	262	3	JP-8	383	17.6	0.93	13.69	35.0	2.91E+16	1.73E+15	2.73E+16	NA	151.17	30.55	120.62	NA	NA	NA	NA	19.3	28.7	14.7	30.5	0	1	21	60	797	0.100	
7	APEX	231	3	JP-8	383	17.6	0.93	13.69	22.0	5.01E+16	3.23E+15	4.69E+16	NA	186.40	51.13	135.27	NA	NA	NA	NA	16.3	25.0	11.2	31.2	0	1	21	59	777	0.093	
8	APEX	395	3	JP-8	383	17.6	0.93	13.69	24.0	4.94E+16	2.99E+15	4.64E+16	14.05	178.02	43.04	134.98	NA	NA	NA	NA	16.2	24.6	11.3	27.0	0	1	21	59	779	0.092	
9	APEX	154	3	Sulfur	1595	17.3	1.31	13.67	33.0	3.79E+16	2.54E+15	3.54E+16	NA	121.47	41.02	80.46	NA	NA	NA	NA	15.8	24.8	12.0	31.8	0	1	21	60	813	0.096	
10	APEX	217	3	Sulfur	1595	17.3	1.31	13.67	33.0	4.85E+16	3.75E+15	4.48E+16	NA	158.31	42.23	116.08	NA	NA	NA	NA	16.3	24.0	12.4	23.3	0	1	21	60	813	0.096	
