ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
1	APEX	182	3	JP-8	383	17.6	0.93	13.69	28	1.08E+16	1.36E+14	1.07E+16	18.42	63.8	37.8	26.0	NA	NA	NA	NA	11.60228	38.2172575	22.6882275	60.270845	0	1	74.5	90	925	0.598	
2	APEX	228	3	JP-8	383	17.6	0.93	13.69	33	2.81E+15	1.31E+14	2.68E+15	14.68	33.7	26.9	6.7	NA	NA	NA	NA	12.416606	49.302852	18.4441125	66.0480225	0	1	75	92	932	0.554	
3	APEX	234	3	JP-8	383	17.6	0.93	13.69	23	1.40E+16	2.21E+14	1.38E+16	29.40	90.7	55.9	34.8	NA	NA	NA	NA	11.92695143	40.28716	21.90971143	67.74726857	0	1	76.7	92	933	0.625	
4	APEX	231	3	JP-8	383	17.6	0.93	13.69	24	1.56E+16	1.77E+14	1.54E+16	19.07	63.7	38.3	25.4	NA	NA	NA	NA	11.99611833	32.07176333	18.505795	63.991885	0	1	74.5	91	912	0.589	
5	APEX	248	3	JP-8	383	17.6	0.93	13.69	24	1.71E+16	1.33E+14	1.70E+16	10.94	51.4	26.5	24.8	NA	NA	NA	NA	11.86270833	26.02418333	18.2993	60.332738	0	1	72	90	892	0.539	
6	APEX	255	3	Sulfur	1595	17.3	1.31	13.67	32	1.26E+16	1.96E+14	1.24E+16	17.15	64.6	29.7	35.0	NA	NA	NA	NA	13.4116125	35.01612375	15.87236125	59.935315	0	1	74.5	92	948	0.575	
7	APEX	225	3	Sulfur	1595	17.3	1.31	13.67	26	3.04E+16	1.98E+14	3.02E+16	23.71	135.7	42.7	93.0	0.576	0.424	64.2821698	47.304523	15.01460286	30.30876286	19.65765833	63.70038333	0	1	76.8	92	944	0.610	
8	APEX	216	3	Sulfur	1595	17.3	1.31	13.67	26	3.35E+16	1.59E+14	3.34E+16	15.98	121.0	28.1	93.0	NA	NA	NA	NA	15.31539833	24.24038333	16.36265833	62.12873833	0	1	74.5	91	927	0.572	
9	APEX	212	3	Sulfur	1595	17.3	1.31	13.67	26	3.68E+16	1.12E+14	3.67E+16	8.39	116.3	17.0	99.3	0.614	0.386	73.11707641	46.03062191	15.37203167	21.987175	16.807748	61.194748	0	1	71.9	90	896	0.512	
10	APEX	224	3	Aromatic	530	21.8	1.34	13.7	29	1.12E+16	1.46E+14	1.11E+16	16.76	52.4	32.4	20.0	NA	NA	NA	NA	11.32180667	36.79225333	21.86366	61.92956	0	1	74.6	92	936	0.563	
11	APEX	245	3	Aromatic	530	21.8	1.34	13.7	21	1.75E+16	2.52E+14	1.73E+16	33.41	102.3	63.4	38.9	NA	NA	NA	NA	12.4815225	39.4538575	22.73280143	68.69989857	0	1	76.9	90	939	0.624	
12	APEX	219	3	Aromatic	530	21.8	1.34	13.7	22	1.96E+16	2.01E+14	1.94E+16	22.96	75.6	37.2	38.4	0.734	0.266	33.85365947	12.28216865	12.69467667	31.03270333	20.95966	64.18362333	0	1	74.5	90	922	0.580	
13	APEX	295	3	Aromatic	530	21.8	1.34	13.7	22	2.21E+16	1.50E+14	2.19E+16	11.73	57.0	22.5	34.5	0.653	0.347	26.98787611	14.36733653	12.82394778	23.78931	20.22458167	59.43779167	0	1	72	90	899	0.535	
14	AAFEX-I	170	3	JP-8	1148	18.6	1.6	13.6	5.7	2.6E+16	3.5E+14	2.53E+16	17.12	75.7	15.6	60.1	NA	NA	NA	NA	13.1186	24.7501	15.2375	67.4248	0	1	75.02200005	89	888	0.688	
