ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
1	APEX	26	3	JP-8	383	17.6	0.93	13.69	NA	NA	5.35E+14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	
2	APEX	53	3	JP-8	383	17.6	0.93	13.69	33.0	4.36E+15	2.76E+14	4.08E+15	78.9	198.4	155.7	42.7	NA	NA	NA	NA	19.11349	75.42786	18.76068	81.51717	0	1	86.0	97	1039	0.796	
3	APEX	73	3	JP-8	383	17.6	0.93	13.69	24.0	7.36E+15	4.65E+14	6.90E+15	128.7	268.5	158.1	110.4	NA	NA	NA	NA	13.617175	67.559635	22.520535	77.481425	0	1	86.0	98	1044	0.871	
4	APEX	129	3	JP-8	383	17.6	0.93	13.69	33.0	2.71E+15	3.74E+14	2.34E+15	95.7	185.7	123.6	62.0	0.730	0.270	54.29631267	20.13086136	19.353455	74.207445	24.753025	76.56564	0	1	86.0	97	1038	0.806	
5	APEX	61	3	JP-8	383	17.6	0.93	13.69	23.0	1.01E+16	4.25E+14	9.71E+15	31.7	173.8	128.0	45.8	NA	NA	NA	NA	12.5175	56.94023	29.43395	76.63616	0	1	86.0	97	1011	0.848	
6	APEX	130	3	Sulfur	1595	17.3	1.31	13.67	34.0	5.62E+15	4.82E+14	5.14E+15	102.7	214.8	134.1	80.7	0.557	0.443	53.93999001	42.87217901	15.24653667	67.26319667	21.58548667	76.6758	0	1	86.0	97	1050	0.838	
7	APEX	98	3	Sulfur	1595	17.3	1.31	13.67	25.0	2.07E+16	6.78E+14	2.01E+16	109.3	220.7	114.6	106.1	0.588	0.412	74.86135651	52.41665612	13.49104467	43.48160667	15.16128333	70.55986	0	1	86.0	98	1022	0.835	
8	APEX	102	3	Aromatic	530	21.8	1.34	13.7	29.0	7.65E+15	3.91E+14	7.26E+15	115.3	194.0	134.0	60.0	0.692	0.308	49.83186695	22.20923421	12.595935	70.47728	23.51517	76.915915	0	1	86.0	98	1049	0.828	
9	APEX	104	3	Aromatic	530	21.8	1.34	13.7	22.0	1.39E+16	9.70E+14	1.29E+16	152.9	275.2	182.6	92.7	0.778	0.222	86.55884741	24.6456896	14.16111	65.711375	19.517915	77.7265	0	1	86.0	95	1024	0.857	
10	APEX	70	3	Sulfur	1595	17.3	1.31	13.67	24.0	2.09E+16	3.88E+14	2.05E+16	108.2	308.7	172.5	136.2	NA	NA	NA	NA	14.44727	53.77084	30.86267	82.96071	0	1	86.0	98	1072	0.863	
