ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF	
1	APEX	158	3	JP-8	383	17.6	0.93	13.69	21.0	8.32E+15	2.03E+14	8.11E+15	2.233	59.0	18.0	41.1	NA	NA	NA	NA	16.205195	37.4355725	17.008135	47.75287	0	1	54.8	83	786	0.307	
2	APEX	191	3	JP-8	383	17.6	0.93	13.69	22.0	1.21E+16	1.56E+14	1.20E+16	4.925	58.2	13.4	44.8	NA	NA	NA	NA	15.16255	24.211165	17.51781	47.42213	0	1	53.5	83	779	0.295	
3	APEX	277	3	JP-8	383	17.6	0.93	13.69	25.0	1.19E+16	2.71E+14	1.16E+16	4.632	93.4	22.5	70.9	NA	NA	NA	NA	16.7512325	25.48232	12.5230875	56.2650825	0	1	52.5	85	781	0.281	
4	APEX	332	3	JP-8	383	17.6	0.93	13.69	27.0	1.24E+16	2.25E+14	1.22E+16	3.333	70.5	21.2	49.4	NA	NA	NA	NA	16.22057833	23.82061667	12.56352	56.89679	0	1	53.5	84	771	0.268	
5	APEX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
6	APEX	327	3	JP-8	383	17.6	0.93	13.69	33.0	1.55E+16	2.85E+14	1.52E+16	4.185	32.9	19.1	13.8	NA	NA	NA	NA	12.1854175	23.2016475	13.37111	56.77973667	0	1	52.0	70	804	0.278	
7	APEX	280	3	JP-8	383	17.6	0.93	13.69	24.0	2.59E+16	1.12E+14	2.58E+16	7.896	35.8	12.9	22.9	0.767	0.233	21.05977655	6.409993593	12.002846	19.144358	15.17721	50.69822667	0	1	53.0	85	792	0.288	
8	APEX	225	3	JP-8	383	17.6	0.93	13.69	34.0	1.24E+16	1.68E+14	1.23E+16	5.739	37.7	16.1	21.6	0.481	0.519	12.45653863	13.42722084	12.696178	23.133878	12.11744	51.41805333	0	1	54.0	85	805	0.296	
9	APEX	287	3	Sulfur	1595	17.3	1.31	13.67	33.0	5.51E+16	1.84E+14	5.49E+16	5.120	133.7	12.6	121.1	NA	NA	NA	NA	15.54323625	20.58730125	11.28961714	44.91987571	0	1	52.5	85	784	0.264	
10	APEX	243	3	Sulfur	1595	17.3	1.31	13.67	26.0	6.55E+16	1.05E+14	6.54E+16	6.271	172.4	12.6	159.9	0.586	0.414	112.4066969	79.45246256	15.58552286	20.27769429	12.73251833	45.94715167	0	1	52.8	84	774	0.273	
11	APEX	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.66341077	24.97017692	NA	NA	NA	NA	NA	NA	NA	NA	
12	APEX	230	3	Aromatic	530	21.8	1.34	13.7	30.0	2.98E+16	8.38E+13	2.97E+16	5.120	47.3	13.2	34.0	0.519	0.481	21.20708823	19.65215654	11.93553	17.24499	17.361536	54.593308	0	1	53.5	85	780	0.271	
13	APEX	217	3	Aromatic	530	21.8	1.34	13.7	21.0	3.94E+16	1.25E+14	3.93E+16	4.328	54.9	10.1	44.8	0.674	0.326	36.23405899	17.53185299	12.74672857	17.56399571	19.248055	46.03295167	0	1	53.0	83	776	0.277	
