ID	Mission	nPoints	Engine	Fuel	Sulfur	Aromatics	Naph	Hydrogen	TempC	ColdEIn	HotEIn	VolEIn	mBC	ColdV	HotV	VolV	Org_Fract	SO4_Fract	mOrg	mSO4	ColdGMD	ColdVMD	HotGMD	HotVMD	Engine2	Engine3	N1	N2	EGT	FF
99	AAFEX-II	145	3	FT	4	1.4	0	15	14.4	4.23E+15	2.72E+13	4.20E+15	1.80	9.60	0.56	9.0	0.677	0.323	7.344108609	3.502051791	10.1465	89.2006	18.9404	102.537	0	1	NA	NA	NA	NA
100	AAFEX-II	110	3	BlendHRJ	276	10.2	0.65	14.4	22.2	1.33E+16	4.25E+14	1.29E+16	2.70	22.88	38.73	-15.9	NA	NA	NA	NA	11.5976	33.7504	38.0363	70.9195	0	1	NA	NA	NA	NA
101	AAFEX-II	140	3	BlendHRJ	276	10.2	0.65	14.4	23.9	1.42E+16	5.34E+14	1.36E+16	8.84	26.86	0.36	26.5	0.706	0.294	22.46184797	9.335994426	12.1678	23.6524	13.2969	42.5852	0	1	NA	NA	NA	NA
102	AAFEX-II	120	3	BlendHRJ	276	10.2	0.65	14.4	24.4	1.44E+16	8.85E+14	1.35E+16	10.42	25.86	1.05	24.8	0.759	0.241	22.59710521	7.184050789	12.6271	20.6318	11.5905	50.3433	0	1	NA	NA	NA	NA
103	AAFEX-II	120	2	JP-8	188	21.8	1.3	13.5	9.4	1.48E+16	1.29E+15	1.35E+16	17.46	59.60	10.25	49.4	0.905	0.095	53.57402018	5.653539818	16.2528	30.9613	13.9241	42.4731	1	0	NA	NA	NA	NA
104	AAFEX-II	150	3	FTS	1083	2.1	0	15	9.4	2.01E+16	3.61E+14	1.97E+16	7.09	32.44	1.17	31.3	0.867	0.133	32.5189592	5.0029168	13.4374	21.4285	11.6699	125.479	0	1	NA	NA	NA	NA
105	AAFEX-II	425	3	FTS	1083	2.1	0	15	14.4	2.08E+16	2.60E+14	2.06E+16	12.06	37.52	2.03	35.5	0.854	0.146	36.372864	6.215616	12.9705	23.918	17.767	145.983	0	1	NA	NA	NA	NA
106	AAFEX-II	150	2	JP-8	188	21.8	1.3	13.5	15.0	1.49E+16	1.10E+15	1.38E+16	17.03	67.33	9.22	58.1	0.927	0.073	64.61874672	5.109389276	16.04	29.7251	13.2778	47.7473	1	0	NA	NA	NA	NA
107	AAFEX-II	90	2	JP-8	188	21.8	1.3	13.5	17.8	9.40E+15	3.01E+14	9.10E+15	21.18	78.63	10.83	67.8	0.689	0.311	56.04199898	25.32268102	17.4282	31.6847	22.4408	64.2701	1	0	NA	NA	NA	NA
108	AAFEX-II	190	3	FTS	1083	2.1	0	15	17.8	2.06E+16	2.92E+14	2.03E+16	5.94	39.30	1.45	37.9	0.863	0.137	39.21760853	6.203915473	13.1139	21.6826	16.0911	153.487	0	1	NA	NA	NA	NA
109	AAFEX-II	120	2	JP-8	188	21.8	1.3	13.5	26.7	1.41E+16	6.89E+14	1.34E+16	3.52	22.78	1.40	21.4	0.853	0.147	21.87646233	3.778661674	12.1922	20.008	12.956	43.6091	1	0	NA	NA	NA	NA
110	AAFEX-II	115	3	BlendHRJ	276	10.2	0.65	14.4	26.7	8.24E+15	3.72E+14	7.86E+15	2.71	10.43	0.58	9.8	0.813	0.187	9.61317544	2.20630256	10.667	20.1704	13.5901	83.6893	0	1	NA	NA	NA	NA
